Title,Rating,Overview
LazyTown,5.9,"In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial."
Coach,7.0,"Hayden Fox is the head coach of a university football team, and eats, sleeps and lives football."
My Mister,9.1,"A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other."
Sherwood,7.4,Two shocking and unexpected murders shatter an already fractured community leading to one of the largest manhunts in British history.
Monsters at Work,7.0,Mechanic Tylor Tuskmon has big dreams of working his way up the ranks to the Laugh Floor at Monsters Inc.
Cubicles,8.2,"Follows the chronicles of Piyush, a typical first jobber & the people around him."
My Teen Romantic Comedy SNAFU,7.9,"About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service Club"" by his teacher."
Thinkistan,8.1,The lives of people working for an advertising agency become entangled while they look out for ambition and power.
People of Earth,7.7,"Journalist Ozzie Graham is skeptical when he investigates a support group for oddballs who think they have been abducted by aliens -- yet the more he learns, the more confused, intrigued, and seduced he becomes."
The Woody Woodpecker Show,7.0,A various of incredible adventures involving a cheerful woodpecker with an unforgettable laugh.
The Sarah Silverman Program.,6.9,"Sarah's immature, only thinks of herself and has no inhibition nor work. Her sister Laura pays her rent. She has a gay couple as neighbors. Laura's seeing cop Jay."
The Flash,7.1,"A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash."""
Jeopardy!,8.3,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories.
Corner Gas,8.3,"The life, or lack thereof, of a proprietor of a gas station, which is the only stop for miles around and a hub of action on the Prairies."
How It's Made,7.8,Television series that documents how various everyday products are made.
Dark Tourist,7.5,"From a nuclear lake to a haunted forest, New Zealand filmmaker and journalist David Farrier ('Tickled') visits unusual -- and often macabre -- tourism spots around the world."
NCIS: Hawai'i,6.6,Follow a team of Naval criminal investigators who operate on the Hawaiian islands.
Soap,8.2,The soap-operish antics of two families: the Campbells and the Tates.
Brotherhood,7.7,"Set in an Irish neighborhood in Providence, Rhode Island, the series revolves around two brothers on opposite sides of the law: one a gangster (Jason Isaacs) and the other a state politician (Jason Clarke)."
Staged,8.5,"David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online."
Shtisel,8.6,"A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life."
Dahan: Raakan Ka Rahasya,7.2,"A disgraced IAS Officer sets out to vindicate herself and takes up a strange case in Shilaspura, a land with occult practices."
Top Cat,7.1,"Top Cat is the leader of a group of alley cats, always trying to cheat someone."
The Trip,8.0,Steve is asked to review restaurants for the UK's Observer who is joined on a working road trip by his friend Rob who fills in at the last minute when Coogan's romantic relationship falls apart.
High School Musical: The Musical: The Series,7.1,The students from the school where the High School Musical films were shot stage a musical production based on the franchise.
The Circle,7.3,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle""."
Phil of the Future,7.0,"A family from 2121 is stuck in 2004, trying desperately to fit in."
The Untamed,8.8,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.
Wrecked,7.3,"When a plane crashes on a deserted island on the way to Thailand, the remaining survivors of the crash struggle to get along and heads clash as they have differing views on how to stay alive and how they will get off the island."
Kingdom Hospital,6.7,"The quirky staff and patients of an ultramodern (albeit increasingly dilapidated) Maine hospital gradually become familiar with the supernatural occurrences that take place there, uncovering a dark secret in the process."
Move to Heaven,8.5,"Working as trauma cleaners, both Gu-ru and Sang-gu uncover various stories of the deceased while experiencing different emotions and sentiments toward life, death and family."
Fight for My Way,8.1,"Ko Dong Man, a former taekwondo champion, and Choi Ae Ra, a receptionist, struggle to follow their dreams as life throws obstacles in their path."
Patriot Act with Hasan Minhaj,8.4,"In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world."
Nash Bridges,6.8,"A smart alecky San Francisco, California cop and his get rich quick scheme of a partner keep tabs on crime and take down the bad guys in the Bay Area."
Undekhi,7.9,"A dancer is killed in a fit of rage at the wedding of the scion of the Atwal family. A cop comes looking for the girl, while a film crew wants to expose the Atwals for their heinous crime. The Atwals will go to any lengths to remove pawns."
The Grinder,7.2,"Television lawyer Dean Sanderson moves back to his small home town after a stint in Hollywood, thinking that his time on TV qualifies him to run his family's law firm."
The Bionic Woman,6.7,"After fully recovering from her nearly fatal bout of bionic rejection, Jaime Sommers, the first female cyborg, is assigned to spy missions of her own."
Run,6.2,"Two ex-lovers, a married American woman and an aspiring British writer, activate a long-planned escape plan and disappear together for a week. They soon get into trouble and a cop goes after them."
Amphibia,8.3,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life."
Pingu,7.4,"""Pingu finds himself in tricky and comical situations, but he always learns a lesson. Pingu spends his days with his parents and baby sister, Pinga. Everyone in his town speaks """"Penguinese."""" Laugh along and find out what happens."
Emergence,7.2,A police chief investigates a case involving a young child found near the site of a mysterious accident.
Jee Karda,7.2,Revolves around seven childhood friends who discover that life at 30 is definitely not what they had imagined while growing up.
The Head,6.8,"Winter has fallen on the South Pole. A small team, known as the Winterers, will remain at the Polaris VI Antarctic Research Station to continue their innovative research, a crucial part in the fight against climate change."
